ID,FirstName,LastName,isSittingMP,Votes,PartyID
609,Chuka,Umunna,1,13096,29
610,Citizen,Skwith,0,301,33
611,Claire,Bonham,0,4476,29
612,Claire,Breeze,0,12293,27
613,Claire,Coutinho,0,35624,16
614,Claire,Davies,0,1384,20
615,Claire,Gill,0,10736,16
616,Claire,Hanna,0,27079,46
617,Claire,Jackson-Prior,0,1168,20
618,Claire,Malcomson,0,3408,29
619,Claire,McIlvenna,0,1935,20
620,Claire,Miller,0,2064,20
621,Claire,Ransom,0,5898,26
622,Claire,Raw,0,11975,26
623,Claire,Rowles,0,5540,16
624,Claire,Sheppard,0,3501,20
625,Claire,Unwin,0,10648,26
626,Claire,Wright,0,25869,23
627,Claire,Young,0,17833,29
628,Clare,Ambrosino,0,9142,16
629,Clare,Aspinall,0,1635,8
630,Clare,Golby,0,20710,16
631,Clare,Hales,0,678,20
632,Clare,Pavitt,0,13022,26
633,Clare,Slater,0,2341,20
634,Clareine,Enderby,0,4628,29
635,Claudia,Sorin,0,5729,26
636,Claudia,Webbe,0,25090,26
637,Claudine,Letsae,0,876,20
638,Cliff,Waterman,0,12782,26
639,Clive,Betts,1,19359,26
640,Clive,Efford,1,20550,26
641,Clive,Johnson,0,10263,26
642,Clive,Lewis,1,27766,26
643,Clive,Minihan,0,1678,8
644,Clive,Woodbridge,0,1413,23
645,Coby,Wing,0,2947,20
646,Coilla,Drake,0,1550,26
647,Colin,Baldy,0,5990,29
648,Colin,Bennett,0,243,23
649,Colin,Clark,1,23066,16
650,Colin,Green,0,3349,29
651,Colin,Jones,0,3604,8
652,Colin,Lambert,0,3952,8
653,Colin,Martin,0,8650,29
654,Colin,Menniss,0,190,47
655,Colin,Peel,0,102,23
656,Colin,Rankine,0,56,70
657,Colin,Reed,0,2291,20
658,Colin,Ross,0,3237,29
659,Colin,Taylor,0,2553,29
660,Colleen,Fletcher,1,23412,26
661,Collin,Harker,0,1609,20
662,Colum,Eastwood,0,26881,46
663,Conan,Connolly,0,2106,20
664,Conor,Burns,1,24550,16
665,Conor,McGinn,1,24870,26
666,Conor,Rafferty,0,690,23
667,Coral,Jones,0,12877,26
668,Coral,Simpson,0,2394,20
669,Corrie,Drew,0,16120,26
670,Count,Binface,0,69,23
671,Craig,Bolton,0,4460,26
672,Craig,Dobson,0,2285,29
673,Craig,Fletcher,0,16990,29
674,Craig,Harrow,0,9820,29
675,Craig,Hoy,0,15523,16
676,Craig,Mackinlay,1,27084,16
677,Craig,Martin,0,2879,29
678,Craig,Morley,0,21178,16
679,Craig,Tracey,1,30249,16
680,Craig,Whittaker,1,29981,16
681,Craig,Williams,0,20020,16
682,Cris,Tomos,0,2776,37
683,Crispin,Blunt,1,28665,16
684,Culann,Walsh,0,1754,20
685,Cyrus,Parvin,0,418,8
686,Daisy,Cooper,0,28867,29
687,Dale,McKenzie,0,484,23
688,Dale,Needham,0,4219,29
689,Damian,Collins,1,35483,16
690,Damian,Green,1,37270,16
691,Damian,Hinds,1,33446,16
692,Damian,Smith,0,1343,8
693,Damian,Timson,0,12182,16
694,Damian,White,0,19175,16
695,Damien,Moore,1,22914,16
696,Dan,Carden,1,34538,26
697,Dan,Costello,0,14281,16
698,Dan,Gallagher,0,14627,29
699,Dan,Greef,0,7803,26
700,Dan,Hutchison,0,1251,20
701,Dan,Jerrome,0,681,20
702,Dan,Liddicott,0,140,30
703,Dan,Poulter,1,35253,16
704,Dan,Schmeising,0,2985,29
705,Dan,Walker,0,1787,29
706,Dan,Wilkinson,0,9448,26
707,Dan,Wilson,0,2870,26
708,Dan,Woodlock,0,957,61
709,Daniel,Coleman,0,2468,29
710,Daniel,Corrigan,0,763,8
711,Daniel,Goldsmith,0,1829,20
712,Daniel,Jarvis,1,14804,26
713,Daniel,Kawczynski,1,31021,16
714,Daniel,Laycock,0,2233,20
715,Daniel,McCrossan,0,7330,46
716,Daniel,Norton,0,7999,29
717,Daniel,Oxley,0,5353,8
718,Daniel,Page,0,306,23
719,Daniel,Pratt,0,2650,20
720,Daniel,Towers,0,1300,20
721,Daniel,Whetstone,0,46,47
722,Daniel,Williams,0,4495,37
723,Daniel,Zeichner,1,25776,26
724,Daniela,Parker,0,3300,29
725,Danielle,Rowley,1,14328,26
726,Danny,Chambers,0,15919,29
727,Danny,Donnelly,0,10165,2
728,Danny,Keeling,0,1780,20
729,Danny,Kinahan,0,12460,64
730,Danny,Kruger,0,32150,16
731,Danyaal,Raja,0,516,8
732,Dara,Farrell,0,13241,26
733,Darren,Clifford,0,548,23
734,Darren,Guy,0,1088,64
735,Darren,Henry,0,26602,16
736,Darren,Jones,1,27330,26
737,Darren,Longhorn,0,883,61
738,Darren,Moore,0,1688,20
739,Darren,Parkinson,0,813,20
740,Darren,Price,0,11764,26
741,Darren,Woodiwiss,0,1709,20
742,Darren-Lee,Lythgoe,0,1489,8
743,Darryl,Gould,0,1068,20
744,Daryll,Pitcher,0,795,23
745,Dave,Brennan,0,245,12
746,Dave,Dobbs,0,373,23
747,Dave,Doogan,0,21216,43
748,Dave,Harding,0,631,66
749,Dave,Mawson,0,1544,8
750,Dave,Passingham,0,2112,20
751,Dave,Raval,0,4853,29
752,Dave,Robertson,0,11206,26
753,Dave,Thomas,0,2663,29
754,David,Aherne,0,489,23
755,David,Amess,1,27555,16
